name,lat,lng
Dakshineswar,22.6538276,88.3636977
Baranagar,22.653226,88.380472
Noapara ( Blue & Yellow ),22.63985,88.394094
Dumdum,22.6214614,88.3928043
Belgachia,22.605973,88.386353
Shyambazar,22.6006027,88.3702928
Shyambazar  Gate No . 2,22.60150929,88.37243975
Shovabazar Sutanuti,22.5960254,88.3652848
Girish Park,22.5871415,88.3630842
Mahatma Gandhi Road,22.580696,88.3613813
Central,22.5725237,88.3582423
Chandni Chowk,22.566797,88.3538026
Esplanade ( Blue ),22.5649419,88.3516987
Park Street,22.55445,88.34985
Maidan,22.5493137,88.3485261
Rabindra Sadan,22.5412251,88.3472736
Netaji Bhavan,22.532977,88.3457124
Jatin Das Park,22.524262,88.346489
Kalighat,22.5166527,88.3460033
Rabindra Sarobor,22.5078864,88.3455571
Mahanayak Uttam Kumar,22.4944519,88.3451538
Netaji,22.4809362,88.3459611
Masterda Surya Sen,22.4734883,88.3608039
Gitanjali,22.469425,88.3699223
Kavi Nazrul,22.4642442,88.3806582
Shahid Khudiram,22.4660094,88.3916655
Kavi Subhash ( Blue & Orange ),22.4721747,88.3978668
HOWRAH MAIDAN METRO,22.5822409,88.3332497
Howrah,22.5830254,88.3410284
Mahakaran,22.572441,88.350661
Esplanade ( Green ),22.564681,88.349649
Sealdah,22.5665562,88.370712
Phoolbagan,22.5721145,88.3893975
Salt Lake Stadium,22.573016,88.4030255
Bengal Chemical,22.5799923,88.4012724
City Center,22.5870411,88.4078654
Central Park,22.5903952,88.4155095
Karunamayee,22.5862825,88.4214022
Salt Lake Sector V,22.580939,88.429052
Dum Dum Cantonment,22.6371297,88.4120946
Jessore Road,22.6391925,88.4297986
Jai Hind - Bimanbandar,22.647315,88.437376
Satyajit Ray,22.484608,88.392619
Jyotirindra Nandi,22.49595,88.398611
Kavi Sukanta,22.505602,88.401066
Hemanta Mukhopadhyay,22.514684,88.401604
VIP Bazar,22.524879,88.396244
Ritwik Ghatak,22.532913,88.39644
Barun Sengupta,22.54387,88.399343
Beleghata,22.55069,88.403975
Joka,22.4519191,88.3015804
Thakurpukur,22.4642826,88.3074849
Sakher Bazar,22.4747597,88.3099273
Behala Chowrasta,22.4870602,88.3131928
Behala Bazar,22.500378,88.3172706
Taratala,22.507687,88.320279
Majerhat,22.519219,88.323742
Netaji Subhash Chandra Bose International Airport,22.653564,88.4450847
