name,lat,lng
Suruchi Sangha,22.5089855,88.3339522
Ekdalia Evergreen Club,22.5212187,88.3665629
Maddox Square,22.5265634,88.3546477
Deshapriya Park,22.5185819,88.3534607
Tridhara Sammilani,22.5195286,88.3554398
Badamtala Ashar Sangha,22.5179668,88.3437245
Mudiali Club,22.510194,88.3463122
Hindusthan Park Sarbojanin Durgotsab Committee,22.5176792,88.3620716
Ballygunge Cultural Association,22.5162122,88.3558059
Jodhpur Park,22.5058175,88.3639986
Samaj Sebi Sangha,22.5157267,88.3562977
95 Pally Association,22.5083339,88.3629194
Bosepukur Sitala Mandir,22.5192181,88.3848576
Rajdanga Naba Uday Sangha,22.5166272,88.3902285
Santoshpur Lake Pally,22.4917563,88.3829267
Shibmandir Sarbojanin Durgotsab,22.5109975,88.3498496
Alipore Sarbojanin Durgapuja,22.5191675,88.333401
64 Pally,22.5205584,88.3475801
Behala Friends' Club,22.5013531,88.3198079
Behala Club Sarbojanin Durgotsav Committee,22.5052597,88.3140807
Behala Sree Sangha,22.4899348,88.3116678
Behala Natundal Durga Puja,22.500439,88.3199339
Barisha Sarbojonin,22.4798533,88.3081233
Barisha Club Puja Ground and Community Hall,22.4812859,88.3132412
Barisha Tapoban Durgapuja Area,22.4764254,88.3105034
Barisha Ekota Sangha Durga Puja Area,22.4878541,88.316046
Pratapaditya Road Tricone Park,22.513498,88.344658
Chakraberia Sarbojanin,22.5336065,88.3519214
Bakul Bagan Sarbojanin Durgotsav,22.5267621,88.34826
Sree Bhumi Sporting Club,22.5988987,88.4029328
Dum Dum Park Bharat Chakra,22.6108213,88.4146001
Dum Dum Park Tarun Sangha,22.610051,88.411488
Lake Town Adhibasi Brinda,22.6044508,88.4039701
Lake Town Park Sarbojonin Durga Puja,22.602849,88.4038776
Laketown Vivekananda Park,22.610039,88.402565
Kankurgachi Naboday Pallymangal Durga Puja,22.5737505,88.3881605
Mitali Sangha Kankurgachi,22.5800474,88.3941322
Tala Prattoy,22.6104572,88.3846031
Tala Barowari Durgotsab,22.6071191,88.3760867
Hatibagan Sarbojonin,22.5943863,88.3720004
Sikdar Bagan Sadharan Durgotsov,22.5966234,88.3723112
Kashi Bose Lane Durga Puja Samity,22.5908979,88.3689174
Ahiritola Sarbojanin Durgotsab,22.594859,88.3571768
Kumortuli Sarbojonin Durgotsab,22.601233,88.3626053
Kumartuli Park,22.5989827,88.3614663
Bagbazar Sarbojanin,22.6046649,88.3659778
Jagat Mukherjee Park,22.5994903,88.3660388
College Square,22.5745279,88.3644724
Santosh Mitra Square,22.5660201,88.3656532
Muhammad Ali Park,22.5771888,88.3607369
Beliaghata 33 No. Palli Basi Brinda,22.5687867,88.3914127
Sovabazar Rajbari,22.5962644,88.3673797
New Town Durga Puja Committee BG Block,22.5822737,88.458849
AK Block,22.5891537,88.4313014
AE Block,22.6008801,88.4119096
Purbachal Sarbojanin,22.573011,88.407463
Barisha Netaji Sangha,22.48385,88.314629
Arjunpur Amra Sabai Club,22.624292,88.4245361
Telengabagan Durgotsab,22.5949468,88.3853031
Gauri Bari Sarbojanin Durga Puja Pandal,22.5944481,88.3790857
Hatibagan Nabinpally Durga Puja Committee,22.5959028,88.3734176
Nalin sarkar street durga puja,22.5945442,88.3743283
Beniatola Sarbojonin Durgotsab,22.5957292,88.3611888
Chaltabagan Durgapuja (Maniktala Chaltabagan Lohapatty Durgapuja Committee),22.5848984,88.3723394
Lalabagan Nabankur Durga Puja Pandal entrance gate,22.5883732,88.3767567
Simla Byayam Samity,22.5851371,88.3645461
CHOREBAGAN SARBOJANIN DURGOTSAB SAMITY,22.5834284,88.3635965
Jorasanko Shib Krishna Daw's Bari,22.5858473,88.3595674
Dakshindari Youths Durga Puja Committee,22.5954403,88.3940411
Dum Dum Park Kalimandir Playground,22.6093637,88.4163567
Dum Dum Park Tarun Dal,22.611486,88.418626
Surir Bagan Sarbojanin Durgapuja,22.5949974,88.3876018
Ajeya Sanghati Club,22.4808597,88.3377053
Haridevpur Athletic Club,22.480907,88.3347237
Haridevpur 41 Pally Club,22.4827837,88.3387153
Naktala Udayan Sangha,22.4742929,88.3665898
Kendua Shanti Sangha,22.471984,88.381501
Behala Pragati Sangha Durga Puja,22.4949781,88.3167081
65 Pally Club,22.4980551,88.3211157
29 Pally Durga Puja Pandal,22.506987,88.322693
Chetla Agrani Durga Puja Pandal,22.5163878,88.337111
Nepal Bhattacharya Street Club Durga Puja,22.5178934,88.3412609
Selimpur Pally Sarbojanin,22.5050732,88.3685851
Santoshpur Trikon Park Durgotsab,22.4931559,88.3784752
Ballygunge 21 Pally,22.529175,88.3688163
Tarun Sangha Durga Puja,22.5179798,88.3614637
Netaji Sporting Club Durga Puja,22.6083271,88.4003968
State Bank Park (S B Park),22.4677772,88.3090707
Salt Lake FD Block Durga Puja Pandal,22.5834541,88.4122701
AJ Block Durga Puja Mela,22.5918656,88.4285094
BJ Block Durga Puja,22.5906892,88.4265676
Laha Colony Bibek Sangha,22.6199865,88.4179252
Bhowanipur 75 Palli,22.533319,88.3457086
Abasar Sarbojanin Durgotsab Samity,22.5278699,88.3489227
Pally Mangal Samity Sarbojanin,22.5028015,88.3646153
Singhi Park Sarbojanin Durga Puja Committee,22.5209489,88.3627281
Vivekananda Sporting Club,22.47555,88.33929
66 Pally Durgapuja Pandal,22.51824057,88.34316758
Uttar Kalikata Sarbojanin Durgotsav,22.60269639,88.37379325
Karbagan Sarbojanin Durgotsab Committee,22.595241,88.3842775
