name,lat,lng
Badamtala Ashar Sangha,22.5179743,88.3437184
Deshapriya Park,22.5185819,88.3534607
Hindustan Park Sarbojanin Durga Puja,22.5179755,88.3614231
Ekdalia Evergreen Club,22.5212187,88.3665629
Falguni Sangha,22.5220333,88.3656673
Ballygunge 21 Pally,22.529175,88.3688163
Bosepukur Sitala Mandir,22.5192181,88.3848576
Rajdanga Naba Uday Sangha,22.5166272,88.3902285
95 Pally Association,22.5083339,88.3629194
Trikon Park Durgotsab ,22.493162,88.3784275
Pally Mangal Samity,22.5049158,88.3744596
Suruchi Sangha,22.5090531,88.333942
Raipur Club : Durga Puja Organisers in Kolkata,22.4745148,88.3780502
Maddox Square Durga Puja,22.5265634,88.3546477
11 Pally Club,22.4985408,88.3214501
Behala Youngmen's Association,22.507067,88.325104
Rajdanga Tribarna Sangha,22.515083,88.389534
Tridhara Sammilani,22.519238,88.355377
Pratapaditya Road Tricone Park,22.513498,88.344658
Mukul Sangha,22.503359,88.313705
Golfgreen Phase 2,22.492256,88.360809
New Alipore Children's Park,22.507145,88.337021
Poddar Nagar Park,22.500887,88.364433
Chakraberia Sarbojanin,22.533646,88.351891
Babubagan Club,22.507988,88.368515
Barisha Tarun Tirtha,22.476515,88.31823
Greenwood Nook,22.50556,88.399902
Sebak Sangha,22.511377,88.347542
Acharya Prafulla Sangha - Behala,22.49065,88.313461
Adi Ballygunge,22.529564,88.37265
Durgabari,22.499889,88.315765
Ganbani Sangha,22.488768,88.327805
Samaj Sebi Sangha,22.515591,88.357719
Barisha Netaji Sangha,22.48385,88.314629
Udayan Sangha,22.501814,88.387711
Uttar Panchanan Gram Milan,22.532141,88.396339
Purbachal Shakti Sangha,22.505142,88.389214
Naskarpur Sarbojanin,22.506571,88.312065
Harish Park Puja,22.530655,88.343681
Rupchand Mukherjee Lane Sarbojanin,22.527273,88.344948
Santoshpur Bibekananda Sangha,22.493908,88.383392
19 Pally,22.512735,88.3675
Hindustan Club,22.5201515,88.3609043
Sitalatala Kishore Sangha,22.481987,88.322479
Aikya Sammilani,22.504429,88.318611
Garia Srirampur Kalyan Samity,22.467281,88.3806618
Sabuj Dal Field,22.4696172,88.3819339
Kendua Shanti Sangha,22.471984,88.381501
Baishnabghata Yatra Shuru Sangha,22.4707001,88.3778402
Naktala Arabinda Sangha,22.4748136,88.3668825
Naktala Udayan Sangha,22.4742929,88.3665898
Netaji Jatiya Sebadal,22.484733,88.3571306
Bijoygarh 6 Pally Sarbojanin Shyama Puja Committee,22.485933,88.360159
Santoshpur Avenue South Pallymangal Samity,22.4921878,88.3798265
Santoshpur Lake Pally Durga Puja Pandal,22.4914713,88.3827705
Fitness Code,22.5044955,88.3655389
Taltala Durga Puja Pandal,22.5030022,88.3646841
Selimpur pally Durga Puja,22.5046776,88.3683663
Abasarika Club,22.5072717,88.3701899
77 Pally durgotsab,22.510417,88.371047
Dhakuria Sarbojanin Durgotsab,22.510483,88.3719863
Durga Mandir - Dhakuria,22.5112439,88.374089
Baishnabghata Patuli Upanagari Sarbojanin Durgapuja Ground,22.4704235,88.3872738
Golf Green Phase II Durga Puja Pandal,22.4948663,88.3630877
Agragami Club,22.5140833,88.3753471
Bosepukur Talbagan Durgotsav,22.5183226,88.3855348
Sunil Nagar Club,22.5284199,88.3847328
Ballygunge Pratisthan Durgabari,22.5254205,88.3696551
Mitra Barir Durga Puja,22.5234053,88.3711601
