name,lat,lng
AK Block,22.5891537,88.4313014
AE Block,22.6008801,88.4119096
AA Block,22.5917995,88.39736
AB Block,22.593313,88.3997852
AC Block,22.5948385,88.4034229
AG Block,22.5995094,88.4240305
AH Block,22.5965541,88.4264543
AL Block,22.5861982,88.4337248
BA Block,22.5888325,88.3985726
BB Block,22.5918475,88.4022104
BD Block,22.5948864,88.4082726
BE Block,22.5979131,88.4131218
BG Block,22.5953985,88.4225156
BH Block,22.5939268,88.4243335
BK Block,22.5876407,88.4288779
BL Block,22.5846852,88.4313014
CD Block,22.5919194,88.409485
CE Block,22.5949341,88.4131218
LABONY ESTATE,22.583099,88.4069754
IB Block,22.572234,88.4146371
IA Block,22.5725677,88.4106973
HB Block,22.5741049,88.4155462
HA Block,22.5755587,88.4119096
GC Block,22.5785377,88.4119096
EE Block,22.5801459,88.4240305
EC Market,22.5852613,88.4092955
CJ Block,22.5895296,88.4243333
CG Block,22.5920383,88.4216066
Dum Dum Tarun Dal,22.611732,88.418739
Dum Dum Park Yubak Brinda,22.605478,88.417732
Joramandir,22.613289,88.429512
Salt Lake BJ Block,22.590794,88.42672
Salt Lake FD Block,22.583464,88.412216
Salt Lake GD Block,22.576777,88.414162
Salt Lake HA Block,22.57641,88.412971
Sreebhumi Sporting Club,22.598993,88.402931
Purbachal Sarbojanin,22.573011,88.407463
Salt Lake AJ Block,22.592161,88.428291
Laketown Nutan Palli Pradeep Sangha,22.60372,88.397507
Salt Lake AE Block - Part 1,22.59856,88.409409
Salt Lake BE Block - Part 2,22.596836,88.412193
Salt Lake CK-CL Block,22.584633,88.427864
Salt Lake DL block,22.582136,88.425819
Bangur Avenue Protirodh Bahini,22.606899,88.409248
Laketown Vivekananda Park,22.610039,88.402565
Jawpur Bayam Samiti,22.610584,88.401138
Pragati Pally Adhibasi Brindra,22.609594,88.400665
Salt Lake AD Block,22.596855,88.406448
Salt Lake AG Block,22.598421,88.423286
"DURGA PUJO, FE BLOCK",22.5799308,88.4148587
Satero Pally Sarbojanin Durgotsav,22.5927948,88.4015094
"Durga Puja, Karunamoyee Housing Estate G Block",22.5824738,88.4232151
"New Town Durga Puja Committee, BG Block",22.5822737,88.458849
BA Block Durga Puja Ground,22.585114,88.4596255
BC Block Durga Puja Ground,22.5836949,88.4674391
BD Block Durga Puja,22.5832868,88.4698553
Milan Sangha Club,22.6064372,88.4040944
Lake Town Adhibasi Brinda,22.6044508,88.4039701
Lake Town Park Sarbojonin Durga Puja,22.602849,88.4038776
C Block Durga Puja Mondop,22.6037422,88.4103047
Bangur Avenue C Block Durga Puja Committee,22.6039398,88.410193
Prafulla Kanan Balak Brinda Club (East),22.6020024,88.42485
"Aswininagar Bandhumahal Club, Baguiati",22.6100164,88.4329278
United Club,22.612473,88.4274021
Dum Dum Park Bharat Chakra,22.6108213,88.4146001
Dumdum Park (Krishnapur Upanagar) Kali Mandir,22.609473,88.4163018
Dum Dum Park Tarun Sangha Club,22.610051,88.411488
Dakshindari Youth Forum Ground,22.5953004,88.39385
Netaji Sporting Club Durga Puja,22.6083271,88.4003968
Patipukur Adi Sarbojonin Durga Puja Committee,22.6087183,88.396662
JAWPUR UTTARANCHAL SARBOJANIN DURGOTSAV SAMITY,22.6187678,88.4027006
Jawpur Santan Sangha,22.6186149,88.3981325
Jawpur Young Association Durga Puja pandal,22.6172296,88.4010474
Sobhabajar alpona Durga Puja,22.6156373,88.3963475
Nager Bazar Saha Bari Durga Puja,22.6166837,88.410324
Khudiram Colony Durga Puja,22.6180573,88.4116758
NARASINGHA AVENUE SARADA MATA MANCHA LANDMARK,22.6259905,88.4149872
NAGERBAZAAR SARBOJONIN,22.6232768,88.4146153
Nager Bazar Jessore Road Adhibasi Brinda,22.623466,88.4157241
Dumdum Motijheel Durga Puja,22.6237353,88.4106429
Dashadrone Youth Karna Shyam Durga Puja Pandal,22.6313979,88.4464932
Arjunpur Amra Sabai Club,22.624292,88.4245361
BHAGABATI PARK DURGA PUJA,22.6175831,88.4127187
Durga Puja Parikrama,22.6433257,88.4247398
Maitreyi Durga Puja Mandap,22.6397136,88.419052
SHREE SHREE DURGA MANDIR,22.6241444,88.4076852
Durgabari Permanent Durgamandap,22.6349218,88.41237
"Kalipuja in Dumdum, Kolkata",22.6201629,88.3958427
Madhugarh Durga Mandap,22.6257812,88.3997763
Kadamtala Durga Mandap,22.6245805,88.3969113
CAMP Raj Rajeshwari Durga Deul,22.6255757,88.3978871
Jubak Bindra Club,22.6281183,88.3979997
11 Pally Durga Deul,22.6270503,88.3953475
"11 Pally Durga Puja,Purba Sinthee",22.6266304,88.3952742
Mahila Dara Porichalito Durga Puja,22.6324391,88.4043274
Charer Palli Sarbojonin Durgotsab,22.6170696,88.3878619
Sarbodaya Sammilani Durgapuja,22.6189578,88.3887021
7 Tanks Durga Puja Pandal,22.6235978,88.3890035
Sinthee Roy Para Sarbojanin Club Durga Puja Pandal,22.62708,88.3897592
Ultadanga Sangrami Club Durga Pujo,22.5905068,88.3952877
