name,lat,lng
Harakutir Ray-Banerjee Barir Durga Pujo,22.58862932,88.35760035
Hathkhola Dutta Barir Durga Pujo,22.59285058,88.35492442
Sovabazar Rajbarir Durga Pujo,22.59627328,88.36738246
Roychoudhury Barir Durga Pujo,22.50162457,88.3191701
Rani Rashmoni er Durga Pujo (Janbazar Rajbari),22.56206494,88.3555821
Chhatu Babu Latu Babu Thakur Bari (Ramdulal Nibas),22.59019364,88.36441964
Baghbazar Haldar Bari er Pujo,22.60347224,88.3670485
Ramgopal Saha’s House Durga Pujo,22.56453589,88.36206608
Shamul dhone Dutta Bari,22.58774078,88.36206941
Jorasanko Narasingha Dawn Bari,22.58649118,88.35849454
Jorasanko Shib Krishna Daw's Bari,22.58594367,88.35965267
Bholanath Niketan,22.58826975,88.37170311
Sabarna Roy Chowdhury Aatchala (Barisha),22.47950161,88.30618878
Mallick Bari,22.53366986,88.34909984
Thanthania Dutta Bari,22.58078628,88.36590732
Chorbagan Mitra Bari,22.58249139,88.36250509
Dorjipara Mitra Bari,22.59120479,88.36496374
Laha Bari (Kailash Bose Street),22.59037987,88.36928654
Chorbagan Chatterjee Bari,22.58227884,88.3638047
Bardhan Bari Durga Puja,22.56126337,88.3539971
Mitra Barir Durga Puja,22.5234638,88.37112007
Kundu Bari (Hatibagan),22.59351153,88.37146408
Pataldanga Basu Mullick Family Durgapujo,22.57335861,88.36478443
Chorbagan Sil's Thakurbari,22.58317573,88.35959519
Badan Chand Roy Bari Durga Puna,22.57487723,88.35587393
Behala Jagat Ram Mukherjee Bari,22.49989614,88.31465655
JADULAL MULLICK BARI,22.58922629,88.35636134
Baishnab Das Mallick Bari   ( ?????? ??? ?????? ????? ?????? ???? ),22.58772573,88.35527913
Pathuriaghata Rajbari (Khelat Ghose’s Residence),22.5887541,88.3565901
Mejo Bari,22.47992917,88.30683211
Raja Naba Krishna Deb Palace,22.59721298,88.36726769
