name,type,lat,lng
Nadial & Hospital ground,toilet,22.5555719,88.2606485
Public Toilet,toilet,22.5625393,88.2298601
Pay & Use Toilet,toilet,22.4872385,88.3347971
SBM TOILET,toilet,22.526945,88.265139
Barovatarider addakhana,toilet,22.5319124,88.2560213
Panudeep's Bari,toilet,22.4947028,88.3068474
Majher Para Masjid,toilet,22.5506103,88.267299
Toilet,toilet,22.521723,88.2539358
Bostir Bari,toilet,22.5230231,88.2527638
KMC Pay and Use Toilet,toilet,22.5242682,88.2701666
Pay and use toilet KMC,toilet,22.5616235,88.363117
Pay and use toilet,toilet,22.5470592,88.3610542
Pay and use Toilet,toilet,22.5584004,88.3668416
SBM TOILET,toilet,22.5649918,88.3687852
Toilet,toilet,22.5616052,88.3674004
Pay And Use Toilet By KMC,toilet,22.5539238,88.3568707
PAY & USE TOILET,toilet,22.558396,88.3725818
Public Toilet,toilet,22.5552669,88.3663684
Pay & Use Toilet,toilet,22.5688659,88.3654321
Public toilet,toilet,22.5602654,88.369255
Tiolet,toilet,22.5583706,88.3669189
SBM TOILET,toilet,22.560018,88.369207
SBM TOILET,toilet,22.5616583,88.3631962
KMC Toilet,toilet,22.5614848,88.3674306
70 beniapukur road,toilet,22.550694,88.3699309
PAY&USE TOILET,toilet,22.5540469,88.3713536
Pay and use toilet,toilet,22.5461932,88.3713218
Paddapukur Park- Toilet,toilet,22.5538625,88.3713907
PUBLIC TOILET,toilet,22.547477,88.3706261
Geetanjali Traders Private Limited,toilet,22.5707274,88.3611569
Ashoka Sanitation,toilet,22.5709309,88.3612285
Toilet,toilet,22.5999937,88.3620031
Pay & Use Toilet,toilet,22.5959086,88.3625995
Public Toilet 🚽,toilet,22.5980765,88.3560749
Public Toilet,toilet,22.5948841,88.3587322
Public Toilet,toilet,22.6007021,88.3636453
Pay & Use Public Toilet Complex,toilet,22.5934069,88.3519521
Public Bathroom & Toilet,toilet,22.5911771,88.3560791
Pay & Use Toilet,toilet,22.5924432,88.3534449
Pay & use toilet,toilet,22.5953523,88.3598583
Toilet,toilet,22.5987259,88.3563767
Pay and Use Toilet,toilet,22.5999066,88.3727829
Public toilet,toilet,22.6013199,88.3690982
Open Free toilet,toilet,22.5987106,88.3748456
PAY & USE TOILET,toilet,22.600357,88.3588995
Pay & Use Toilet,toilet,22.6044897,88.365615
"ROTARY CENTRAL KOLKATA , Pay and use toilet",toilet,22.6043265,88.3697803
Swachh Public Toilet,toilet,22.6047887,88.3681733
Public toilet,toilet,22.5964511,88.3634068
Pay & Use Toilet,toilet,22.6052772,88.3745096
Public toilet,toilet,22.5889281,88.3689099
SBM TOILET,toilet,22.59281,88.35682
BENGAL SANITATIONS — JAQUAR AUTHORISED DEALER,toilet,22.6040434,88.3732818
SBM TOILET,toilet,22.596946,88.372038
SBM TOILET,toilet,22.5933528,88.3737267
SBM TOILET,toilet,22.6006,88.37029
Pay & Use Toilet,toilet,22.5932092,88.3702227
Pay And Use Toilet,toilet,22.6008706,88.3635671
Public Toilet,toilet,22.5879425,88.3673271
SBM TOILET,toilet,22.5940766,88.3520098
SBM TOILET,toilet,22.59749,88.37067
Rahul house,toilet,22.60002,88.3597065
B.M. SONS & COMPANY,toilet,22.597101,88.3621579
SBM TOILET,toilet,22.5890304,88.3691579
SBM TOILET,toilet,22.6061868,88.3686694
Girish,toilet,22.592971,88.3646076
Bhagyeswar temple,toilet,22.5981526,88.3640011
Gori shankar line 10 b,toilet,22.5920762,88.3635277
K M C Toilet,toilet,22.6029139,88.3761797
Pay and Use toilet,toilet,22.5986337,88.3746809
SBM TOILET,toilet,22.5607,88.3523
Pay & Use Toilet,toilet,22.5653215,88.3494641
SBM TOILET,toilet,22.5607,88.3523
Sulav Souchalaya Esplanade,toilet,22.5597594,88.3559844
SBM TOILET,toilet,22.564816,88.3592658
SBM TOILET,toilet,22.56147,88.363197
সুলভ শৌচালয়,toilet,22.56327,88.350358
Pay And Use Toilet,toilet,22.5666967,88.3544791
SBM Public Toilet Bowbazar,toilet,22.5666981,88.3544787
Pay & Use Toilet,toilet,22.5616154,88.3523793
Pay & Use Toilet,toilet,22.5676585,88.3572522
Pay and Use Toilet,toilet,22.564274,88.3506645
Public Toilet,toilet,22.5642669,88.3479727
Toilet,toilet,22.5660396,88.3568608
Public Toilet,toilet,22.563283,88.3491959
Public toiler,toilet,22.5667937,88.3543404
Use and Pay Toilet,toilet,22.5693235,88.355788
Pay And Use Toilet,toilet,22.5558359,88.3510428
PAY & USE TOILET,toilet,22.5661811,88.3567626
Public Toilet,toilet,22.5604652,88.3524708
Public Toilet,toilet,22.5630305,88.3558006
Pay & Use Toilet,toilet,22.5616631,88.3513038
Pay & Use Toilet,toilet,22.5657856,88.3581645
PAY & USE TOILET,toilet,22.5698694,88.3584203
PA & USE TOILET,toilet,22.5627125,88.3554369
Public Toilet,toilet,22.5616905,88.3600492
Pay & use toilet complex,toilet,22.5601299,88.3523561
Toilet,toilet,22.5686881,88.3708876
Public toilets,toilet,22.5695511,88.3612611
Free Public Toilet,toilet,22.564144,88.3604399
Toilet,toilet,22.5616579,88.3564607
SBM TOILET,toilet,22.5617815,88.3531563
Public Urinal,toilet,22.5560941,88.3510232
Sulov Souchaloy,toilet,22.5627125,88.3554369
SBM TOILET,toilet,22.5616016,88.3520927
SBM TOILET,toilet,22.5617804,88.3531593
SBM TOILET,toilet,22.561726,88.3533567
Washroom near Wali enterprise,toilet,22.5670256,88.3531864
Sulabh shauchalaya,toilet,22.5674499,88.3503866
PAY & USE TOILET,toilet,22.565032,88.3855238
Public toilet,toilet,22.5643487,88.3883639
Sagar raj,toilet,22.564902,88.3854917
SBM TOILET,toilet,22.570738,88.377306
PAY & USE TOILET,toilet,22.573556,88.3848936
Toilet,toilet,22.564975,88.3818536
Pay and use toilet,toilet,22.57072,88.3892956
সুলভ শৌচালয়,toilet,22.5621598,88.3839597
Public toilet,toilet,22.5698473,88.3903781
SBM TOILET,toilet,22.5725421,88.3773816
SBM TOILET,toilet,22.572893,88.387041
Sulabh Complex,toilet,22.5704704,88.3893385
Central,metro,22.5724857,88.3587427
Park Street,metro,22.5551591,88.3501171
Kavi Nazrul,metro,22.4642505,88.3804604
Shahid Khudiram,metro,22.4659847,88.3915408
Kavi Subhash (Blue Line),metro,22.4721697,88.397961
Netaji,metro,22.4809928,88.3460002
Mahanayak Uttam Kumar,metro,22.4947692,88.3450879
Dum Dum,metro,22.6211141,88.3928973
Rabindra Sarobar,metro,22.5072216,88.3454936
Kalighat,metro,22.5168752,88.3458448
Jatin Das Park,metro,22.5241535,88.3464729
Netaji Bhavan,metro,22.5331821,88.3459269
Rabindra Sadan,metro,22.5414899,88.3473493
Maidan,metro,22.5494672,88.3487883
Chandni Chowk,metro,22.5670118,88.3541581
Esplanade (Line 1),metro,22.5636143,88.3512099
Mahatma Gandhi Road,metro,22.5809206,88.3613271
Girish Park,metro,22.5871445,88.3629415
Shobhabazar Sutanuti,metro,22.595881,88.3651996
Shyambazar,metro,22.601335,88.3724974
Belgachia,metro,22.6059241,88.3863913
Noapara,metro,22.6398418,88.3941343
Nalban Metro Station,metro,22.5733404,88.4212209
Karunamoyee,metro,22.58638,88.4215312
Central Park,metro,22.5904737,88.4156247
City Centre,metro,22.5870993,88.4078908
Bengal Chemical,metro,22.5800666,88.4012962
Salt Lake Stadium,metro,22.5731115,88.4030891
Phoolbagan,metro,22.5721268,88.3902408
Salt Lake Sector V,metro,22.5809434,88.4290872
Baranagar,metro,22.6530765,88.3805962
Behala Bazar,metro,22.4987585,88.3173872
Behala Chowrasta,metro,22.4873548,88.3133794
Sealdah,metro,22.5666059,88.3697815
Dakshineshwar,metro,22.6540325,88.3637533
Thakurpukur,metro,22.4643677,88.3075322
Sakher Bazar,metro,22.4748533,88.3099593
Taratala,metro,22.5076863,88.3203842
Joka,metro,22.452347,88.3018236
Hemanta Mukhopadhyay,metro,22.5148514,88.4014276
Kavi Sukanta,metro,22.5053017,88.4009957
Jyotirindra Nandi,metro,22.4956263,88.398449
Satyajit Ray,metro,22.4846775,88.3926447
Mahakaran,metro,22.5720777,88.3505275
Howrah,metro,22.5833648,88.3403452
Howrah Maidan,metro,22.5838585,88.3339983
Majerhat,metro,22.5191466,88.3236555
Esplanade (Line 2),metro,22.5641292,88.3502752
Kavi Subhash,metro,22.4711093,88.3980989
Beleghata,metro,22.5507084,88.4039852
Barun Sengupta,metro,22.5438072,88.3992762
Ritwik Ghatak,metro,22.5329995,88.3964191
VIP Bazar,metro,22.5246847,88.3962331
Jai Hind,metro,22.6473058,88.4373029
Jessore Road,metro,22.6392646,88.4297701
Dum Dum Cantonment,metro,22.6375936,88.4121618
Subway to CTC Bus Stand and Road Crossing,metro,22.4941217,88.3453164
Masterda Surya Sen,metro,22.4734404,88.3608976
Kavi Subhash,metro,22.4720495,88.3979473
Gitanjali,metro,22.4694673,88.3700116
Pay and use toilet,toilet,22.5680392,88.3786791
SBM TOILET,toilet,22.5605171,88.3822209
Toilet,toilet,22.5670445,88.3719055
SBM TOILET,toilet,22.574702,88.37762
SBM TOILET,toilet,22.57209,88.391663
PAY & USE TOILET,toilet,22.5603296,88.3821861
SBM TOILET,toilet,22.577152,88.3818496
SBM TOILET,toilet,22.563429,88.396282
Pay & Use Toilet,toilet,22.5746748,88.3734198
SBM TOILET,toilet,22.558624,88.383076
SBM TOILET,toilet,22.5692377,88.3745401
Toilet,toilet,22.5685473,88.3720208
Pay & Use Toilet,toilet,22.5704696,88.4039698
PAY AND USE TOILET,toilet,22.5650359,88.3702202
Pay and. Use toilets,toilet,22.554403,88.3846145
Toilet 1no platform,toilet,22.5688381,88.3711772
Sealdah Public Convinence Toilets,toilet,22.5661518,88.3704376
Pay & Use Toilet,toilet,22.560402,88.3917031
Pay & Use Toilet,toilet,22.567792,88.3710203
SBM TOILET,toilet,22.5763227,88.3705352
PAY & USE TOILET,toilet,22.5763528,88.3630913
SBM TOILET,toilet,22.5798395,88.3781231
SBM TOILET,toilet,22.578646,88.37426
"""PAY & USE"" SULABH TOILET COMPLEX",toilet,22.572616,88.367269
Balaji Traders,toilet,22.5769357,88.390262
Public Toilet,toilet,22.565172,88.397913
Police kc dhore,toilet,22.563266,88.3782705
PAY & USE TOILET,toilet,22.5785562,88.3740527
Ladies toilet,toilet,22.56765,88.3700058
SBM TOILET,toilet,22.5738791,88.3720089
K G Bose Sarani Sub Post Office,toilet,22.5681664,88.3860944
Tangra,toilet,22.5598698,88.3852847
Toilet Pay And Use,toilet,22.5681599,88.3696316
Public Toilet,toilet,22.5522213,88.3827466
ESSCO Authorised Dealer - Tirupati Global Trade Pvt Ltd,toilet,22.5667717,88.3938449
Moti Jheel United Sporting Club,toilet,22.5594094,88.3762083
"KOHLER Authorised Exclusive Showroom - The Tiles Shop,Kolkata",toilet,22.5412695,88.3876147
REVATA EXIM CORPORATION,toilet,22.5727773,88.3897318
Public Toilet,toilet,22.5410866,88.3978854
Pay & Use Toilet,toilet,22.5364485,88.3732599
Toilet for toiletless people,toilet,22.5798752,88.3654526
Toilet,toilet,22.5756701,88.365944
SBM TOILET,toilet,22.5775678,88.3778159
SBM TOILET,toilet,22.57778,88.369496
Public Toilet,toilet,22.5835338,88.3716183
SBM TOILET,toilet,22.58163,88.378672
Jents Toilet,toilet,22.5851226,88.3653858
SBM TOILET,toilet,22.582613,88.381533
Toilet - Bou Bazar,toilet,22.5657526,88.3651274
PAY & USE TOILET,toilet,22.5799692,88.361496
Samad michael,toilet,22.5734828,88.3689938
সুলভ শৌচালয়,toilet,22.5816765,88.3786825
SBM TOILET,toilet,22.5763447,88.3704739
Swachh Public Toilet,toilet,22.5649771,88.3668618
Toilet,toilet,22.5670581,88.3691525
Public toilet,toilet,22.5724554,88.358936
PAY & USE TOILET,toilet,22.5976109,88.3722028
PAY & USE TOILET,toilet,22.578152,88.3504771
Public Toilet,toilet,22.601257,88.3725769
Shyam Sanitary Emporium - Sanitary Showroom in Kolkata,toilet,22.5693452,88.3604978
Pay and Use Toilet,toilet,22.5859241,88.3624295
Pay And Use Toilets - Shyambazar,toilet,22.5996441,88.3660882
Bath Sanitation,toilet,22.5681745,88.35965
Toilet in Coffee House,toilet,22.5761893,88.3639973
Toilet Pay And Use,toilet,22.5661525,88.3704376
PAY And Use Kmc Toilet,toilet,22.5524199,88.2613004
SBM TOILET,toilet,22.5525597,88.2613114
SBM TOILET,toilet,22.5370914,88.2558829
Pay & Use Toilet,toilet,22.5366416,88.2548834
Pay And Use Toilet Complex,toilet,22.5710869,88.2649118
