name,lat,lng
College Square Durga Puja,22.5745279,88.3644724
37 Palli Durga Puja Pandal,22.5746858,88.3693988
 Jorasanko 7er Palli Sarbojonin Durga Puja,22.5839891,88.3613312
Nimtala Sarbojanin DurgaPuja,22.5918418,88.3586946
Machua Bazar Sarbojanik Durgapuja Samity,22.5812141,88.3572457
Madhya Kolkata Sarbojanin Durga Puja,22.5691347,88.3674345
Kolkata Durga Puja Parikrama,22.59619,88.3642037
Dum Dum Park Sarbojanin Durga Puja Samity,22.6094363,88.4164052
Darpanarayan Sarbojanin Durga Puja,22.587142,88.3544204
Mitra Lane Durga Puja Samity,22.5813401,88.361731
Harinath Dey Road Durga Puja,22.5820453,88.3770171
Durga Bari (Bandyopadhyay Poribar),22.574078,88.36602
Belgachia Sadharon Durgotsav,22.6077319,88.3827393
KIDDERPORE SARBOJANIN DURGOTSAB,22.5389416,88.324929
Entally Sen Villa Durga Puja,22.5607499,88.3738407
Ramgopal Saha’s House Durga Pujo,22.5645283,88.362134
Jorasanko Sadharan Durgotsav Samity,22.5862387,88.3605571
Harakutir Ray-Banerjee Barir Durga Pujo,22.5885619,88.3575862
JAGORANI SANGHA DURGA PUJA PANDAL,22.5929868,88.3848974
Amherst Street Sadharan Shri Shri Kali puja,22.5772018,88.3690928
Hatkhola Gosaipara Sarbojonin Durgotsab,22.5990953,88.359304
Adi Barowari Kali Puja ,22.572711,88.364904
Akal Bodhon Durgoutsav Committee,22.5760001,88.3611009
Kundu Bari durga puja,22.5854637,88.3617916
Jubak sangha durgapuja,22.5714556,88.364391
Karbagan Sarbojanin Durgotsab Committee,22.595241,88.3842775
Fatakesto Kali Puja,22.5776183,88.3667744
Pallir Yubak Brinda,22.5761009,88.3669929
48 Pally Jubashree Club,22.5700197,88.3656593
FORUM FOR DURGOTSAB,22.5970258,88.3582696
Tarun Sporting Club,22.5865138,88.3649941
Durga puja festival,22.572655,88.3638989
Jorasanko Shib Krishna Daw's Bari,22.5858473,88.3595674
Bosepukur Sitala Mandir,22.5192181,88.3848576
Chorbagan Mitra Bari,22.5824066,88.3624287
Mitram Athletic Club Durga Puja,22.5641137,88.3633486
SANSKRITI SANGHA DURGA PUJA PANDAL,22.5782062,88.3635132
Hatibagan Nabinpally Durga Puja Committee,22.5959028,88.3734176
Naba Baghbazar Sarbajanin Durga Puja,22.6038666,88.3699309
Bagbazar polli durga pujo,22.6012079,88.3668234
AHIRITOLA JUBAK BRINDA SARBOJONIN SARODOTSAB,22.5946791,88.3602117
Aharitala Tarun Sangha,22.5948135,88.3568361
Kumartuli Park,22.5989827,88.3614663
Duer pally durga puja,22.5929179,88.3570597
Baghbazar Haldar Bari Puja,22.6034575,88.3670376
Shimla Sporting Club Durga Puja,22.5847918,88.3667183
Sealdah Bazar Jagaddhatri Puja,22.5668156,88.3690686
Simla Byayam Samity,22.5851371,88.3645461
Janbazar Sammilita Kali Puja Samity,22.5617494,88.3573002
Adhibasibrinda - Kanai Dhar Lane,22.572337,88.365265
Raja Subodh Mallick Square Park,22.5635842,88.3595075
Nilmani Dey's Thakur Bari,22.5666104,88.3629267
Durga Mandir,22.5820075,88.36365
Sealdah Mahilabrinda Jagaddhatri Puja,22.5709764,88.3705945
Madhya Kolkata Malanga Lane bayam samity Akal Bodhon Puja,22.56667,88.3586157
Lattupara Sporting Club Saraswati Puja,22.5678957,88.3655208
Nilmani Dutta Lane Sarbojanin Durga Puja,22.5721706,88.3657112
47 Pally Jubakbrinda,22.5714699,88.3587305
Jagat Mukherjee Park,22.5994903,88.3660388
14 Pally Udayan Sangha,22.5573999,88.3665828
Basu Mallick Thakurbari,22.573205,88.3643438
Krishna Cinema Pandal,22.578478,88.3567829
Hedua Park Durga Puja,22.5883195,88.3690801
Tal Betal Durga Puja,22.6038955,88.3710975
North Tridhara Durga Puja,22.5958155,88.3745568
Dhar Bari Durga Puja,22.5947149,88.3588286
Shyampukur Adi Sarbojanin Durgotsab Committee,22.598151,88.370838
Ramdulal cultural durga puja,22.5888736,88.364943
Pathuriaghata Pancher Pally Sarbojonin Durgotsab Committee,22.5886068,88.3576317
Kali Dutta Street Durga puja,22.595036,88.3652007
20 Palli Sarbojani Durgotsab,22.5936339,88.3581339
Santosh Mitra Square,22.5660201,88.3656532
Durga Puja Parikrama,22.6433257,88.4247398
Sandhani,22.5958613,88.3624339
Durgabati,22.5949178,88.3656237
Paikpara Sammilani puja prangan,22.6093408,88.3848253
Sovabazar Rajbari,22.5962644,88.3673797
Mahalla Sarbojanin Durgautsab Samity,22.5916656,88.3610841
Adi Kombuliatola-O-Shyambazar Street Sarbojonin Durgotsob,22.5979828,88.3667018
Kumartuli Potter's Lane,22.5994331,88.3635006
Beadon Street Sarbojanin Durgotsav,22.5892707,88.3676133
Maddox Square Durga Pujo,22.5265634,88.3546477
Shyambazar Palli Sangha,22.6000564,88.3693864
Satadal Durgothsav Committee,22.5953404,88.3670218
Khidirpur 25 Palli Durga Puja,22.5391961,88.3264565
Newland Durga Puja Mandap,22.5052444,88.2290534
Behala Natundal Durga Puja,22.500439,88.3199339
The Hari Ghosh Street Sarbojanin Durgotsab Samity,22.5904259,88.3681481
29 Pally Durga Puja Pandal,22.506987,88.322693
Kabitirthey Sarodotsab Durga Puja,22.5406238,88.3223506
Parnasree Club Durga Puja Ground,22.5069507,88.3066162
Umapally Durga Puja,22.4904351,88.3228513
Behala Uttarsuri Durga Puja,22.4916739,88.3149826
Arcadia Durga Puja,22.4937063,88.3142849
Hide Road Durga Puja Pandal,22.535214,88.3098716
Bhukailash Sangh Sree Durga Puja Pandal,22.5377596,88.3183726
Mitali sangha Durga Puja Pandal,22.5105468,88.2716579
Mahila Samity Durga Puja,22.491628,88.3230367
Begorkhal Nimtala pallybasi Durga Puja pandal,22.496344,88.293957
Shree shree sarbojanik durga puja,22.5322285,88.3103575
Bidhan Sangha durga puja club,22.5936517,88.3848645
Behala Club Sarbojanin Durgotsav Committee,22.5052597,88.3140807
Saborna Roychoudhury(Borobari) Durga Puja Area,22.479964,88.3110341
Fatehpur Bazar Durga Puja Pandal,22.5376033,88.2911612
Parnasree Green Durga Puja,22.5074854,88.2995234
Sarani Durga Puja,22.5416662,88.2838868
Mallick Para Durga Puja Pandal,22.5411875,88.2846228
New Ekar Pally Durga Puja Pandal,22.5387109,88.2900596
Durga Bahini  Nabapally Khelarmath Durga Puja Committee,22.4934675,88.2928672
Ghosh Bari Durga Puja,22.5387122,88.2890553
Debdaru Fatak Sarbojanin Durgotsav,22.5025869,88.3175461
Khidderpore Pally Saradiya,22.5432531,88.3215038
Mudiali Uttirno Sangha Club,22.5465099,88.2826317
Pally Mangal samiti playground charak tala shiv mandir,22.5133875,88.2947344
Joyrampur Sarbojanin Durga Puja committee,22.4921468,88.307365
Deewan Bagan Durga Puja,22.5431575,88.2830946
Bonedi Durga Pujo Tour,22.4820598,88.3202299
Badamtala club  Parnasree pally,22.5032156,88.3059959
Udayan Kidderpore,22.5441606,88.32142
Ramdashati Kali Mandir (Bhandari Pole),22.5350131,88.2802434
Behala Panchanantala Mitali Sangha,22.5026686,88.3147523
Maitreyi Durga Puja Mandap,22.6397136,88.419052
Kadamtala Durga Mandap,22.6245805,88.3969113
Jawpur Young Association Durga Puja pandal,22.6172296,88.4010474
BHAGABATI PARK DURGA PUJA,22.6175831,88.4127187
Nager Bazar Saha Bari Durga Puja,22.6166837,88.410324
Lake Town Park Sarbojonin Durga Puja,22.602849,88.4038776
C Block Durga Puja Mondop,22.6037422,88.4103047
Khudiram Colony Durga Puja,22.6180573,88.4116758
Madhugarh Durga Mandap,22.6257812,88.3997763
Durgabari Permanent Durgamandap,22.6349218,88.41237
Pratirodh Bahini Puja Mandal,22.6070931,88.4092633
Bangur Avenue C Block Durga Puja Committee,22.6039398,88.410193
Nager Bazar Jessore Road Adhibasi Brinda,22.623466,88.4157241
NAGERBAZAAR SARBOJONIN,22.6232768,88.4146153
Jubak Bindra Club,22.6281183,88.3979997
Mahila Dara Porichalito Durga Puja,22.6324391,88.4043274
Ramnagar Durga Puja,22.5431,88.2945
Mejo Bari,22.4797192,88.3063754
BHARTIYA YUVA PARISHAD PUJA PANDAL,22.5515988,88.2734076
Nut Behari Das Sanghatti Pally Durga Puja,22.5374097,88.2882731
Akshra Temple New Alipore,22.5070932,88.3370237
Behala Friends' Club,22.5013531,88.3198079
Sri Sri Shardiya Durga Puja,22.5406621,88.2860738
SAPARAYPUR SRIJANI,22.5051714,88.2733836
Behala Agradut Club,22.5025475,88.3122874
Rampur Pally Unnayan Pathagar,22.5151004,88.2800656
Netaji Sporting Club Durga Puja,22.6083271,88.4003968
Kalipuja in Dumdum   Kolkata,22.6201629,88.3958427
Sobhabajar alpona Durga Puja,22.6156373,88.3963475
Dum Dum Park Bharat Chakra,22.6108213,88.4146001
Dumdum Motijheel Durga Puja,22.6237353,88.4106429
Sarbodaya Sammilani Durgapuja,22.6189578,88.3887021
11 Pally Durga Puja  Purba Sinthee,22.6266304,88.3952742
CAMP Raj Rajeshwari Durga Deul,22.6255757,88.3978871
Dum Dum Park Tarun Sangha Club,22.610051,88.411488
Belgachia Central Sarbojonin Durgoutsav,22.6046937,88.3851744
Narasingha Avenue Association,22.6254442,88.4148189
SHREE SHREE DURGA MANDIR,22.6241444,88.4076852
11 Pally Durga Deul,22.6270503,88.3953475
Dashadrone Youth Karna Shyam Durga Puja Pandal,22.6313979,88.4464932
Railpukur United club,22.6124668,88.4274064
Ultadanga Pallyshree Durga Puja,22.5958298,88.3844134
Lalabagan Nabankur Durga Puja Pandal entrance gate,22.5883732,88.3767567
BAGHMARI CLUB DURGA PUJA PANDAL,22.5841714,88.3839937
Durga Maath Open Play Ground,22.5548271,88.3794273
Sandhani Club Puja Mandap,22.5649902,88.3964973
New Town Durga Puja Committee   BG Block,22.582353,88.458849
Beleghata Santi Sangha Club..Durga Puja Pandel,22.5619411,88.3912356
Metropolitan Durga Bari,22.5541919,88.4063578
Lal Building Durga Puja,22.5713983,88.3754584
